timestamp,object,message
2026-07-10T10:14:36.156Z,n8n,Last session crashed
2026-07-10T10:14:46.164Z,n8n,Initializing n8n process
2026-07-10T10:14:51.413Z,n8n,"n8n ready on ::, port 5678"
2026-07-10T10:14:51.548Z,n8n,"n8n Task Broker ready on 127.0.0.1, port 5679"
2026-07-10T10:14:51.714Z,n8n,Failed to start Python task runner in internal mode. because Python 3 is missing from this system. Launching a Python runner in internal mode is intended only for debugging and is not recommended for production. Users are encouraged to deploy in external mode. See: https://docs.n8n.io/hosting/configuration/task-runners/#setting-up-external-mode
2026-07-10T10:14:52.107Z,n8n,
2026-07-10T10:14:52.107Z,n8n,There is a deprecation related to your environment variables. Please take the recommended actions to update your configuration:
2026-07-10T10:14:52.107Z,n8n, - N8N_RUNNERS_ENABLED -> Remove this environment variable; it is no longer needed.
2026-07-10T10:14:52.107Z,n8n,
2026-07-10T10:14:52.213Z,n8n,[license SDK] Skipping renewal on init: license cert is not due for renewal
2026-07-10T10:15:02.635Z,n8n,Database ping failed (1/3): Database connection timed out
2026-07-10T10:15:05.721Z,n8n,Database connection recovered
2026-07-10T10:15:05.822Z,n8n,"Registered runner ""JS Task Runner"" (QzNYJkYBWyJM-RgVJfRE6) "
2026-07-10T10:15:08.148Z,n8n,Instance registered
2026-07-10T10:15:08.198Z,n8n,Discovered 4 cluster checks
2026-07-10T10:15:16.974Z,n8n,Version: 2.27.4
2026-07-10T10:15:16.981Z,n8n,Building workflow dependency index...
2026-07-10T10:15:17.016Z,n8n,[PostHog] `sendFeatureFlags` is deprecated and will be removed in a future major version. Pass a `flags` snapshot from `posthog.evaluateFlags(...)` instead — it avoids a second `/flags` request per capture and guarantees the event carries the exact flag values your code branched on.
2026-07-10T10:15:17.081Z,n8n,Start Active Workflows:
2026-07-10T10:15:17.088Z,n8n,"Finished building workflow dependency index. Processed 0 draft workflows, 0 published workflows."
2026-07-10T10:15:22.581Z,n8n,"Activated workflow ""P10 API Reliability - REAL HTTP 429 Demo Ready"" (ID: rfJdXqe30yYM9zyG)"
2026-07-10T10:15:22.584Z,n8n,
2026-07-10T10:15:22.584Z,n8n,Editor is now accessible via:
2026-07-10T10:15:22.584Z,n8n,http://localhost:5678
2026-07-10T10:15:22.590Z,n8n,
2026-07-10T10:15:22.594Z,n8n,"Press ""o"" to open in Browser."
2026-07-10T10:19:34.560Z,n8n,(node:8) [DEP0060] DeprecationWarning: The `util._extend` API is deprecated. Please use Object.assign() instead.
2026-07-10T10:19:34.560Z,n8n,(Use `node --trace-deprecation ...` to show where the warning was created)
2026-07-10T10:26:36.313Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:29:22.178Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:32:30.622Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:33:23.353Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:33:24.855Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:33:26.311Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:33:28.223Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:36:13.885Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:36:39.688Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:36:42.951Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:39:27.256Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:39:35.245Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."
2026-07-10T10:58:40.707Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T10:58:47.462Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T11:28:44.418Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T11:29:17.620Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T13:27:09.214Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T13:27:14.575Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T13:27:27.875Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T13:27:38.084Z,n8n,Error in handling webhook request POST /webhook-test/commproto-p10: Failed to parse request body
2026-07-10T13:30:45.836Z,n8n,"Received request for unknown webhook: The requested webhook ""commproto-p10"" is not registered."